source,target,relation,weight,directed
kummer_ideal_numbers,ideal_class_group,motivates,6,true
kummer_ideal_numbers,fermat_last_theorem,partially_proves,7,true
elliptic_curves,taniyama_shimura,proves,8,true
taniyama_shimura,wiles_ribet_epsilon,combined_with,8,true
wiles_ribet_epsilon,fermat_last_theorem,proves,9,true
taniyama_shimura,fermat_last_theorem,proves,9,true
elliptic_curves,mordell_weil,satisfies,6,true
mordell_weil,elliptic_curve_rank,defines,6,true
elliptic_curve_rank,bsd_conjecture,motivates,8,true
elliptic_curves,bsd_conjecture,motivates,8,true
riemann_hypothesis,bsd_conjecture,analogous_to,6,true
modular_forms,taniyama_shimura,concerns,8,true
elliptic_curves,modular_forms,parametrized_by,8,true
prime_numbers,distribution_of_primes,motivates,3,true
distribution_of_primes,gauss_prime_conjecture,motivates,4,true
gauss_prime_conjecture,legendre_prime_conjecture,refines,4,true
distribution_of_primes,chebyshev_bounds,bounded_by,5,true
chebyshev_bounds,bertrand_postulate,proves,4,true
chebyshev_bounds,prime_number_theorem,motivates,5,true
gauss_prime_conjecture,prime_number_theorem,conjectures,6,true
euclid_infinitude_primes,euler_product_zeta,motivates,4,true
riemann_zeta_function,euler_product_zeta,defines,5,true
euler_product_zeta,euler_basel_problem,specializes,3,true
euler_basel_problem,zeta_special_values,generalizes,4,true
riemann_1859_paper,riemann_zeta_function,extends_to_complex_plane,7,true
riemann_1859_paper,riemann_functional_eq,proves,7,true
riemann_zeta_function,riemann_functional_eq,satisfies,5,true
riemann_functional_eq,riemann_xi_function,symmetrized_by,6,true
riemann_xi_function,riemann_hypothesis,restates,8,true
riemann_functional_eq,riemann_hypothesis,motivates,8,true
riemann_zeta_function,riemann_hypothesis,concerns,9,true
riemann_hypothesis,critical_line_theorem,partially_confirmed_by,7,true
riemann_1859_paper,explicit_formula_primes,conjectures,8,true
euler_product_zeta,prime_number_theorem,implies_via_analytic_methods,6,true
riemann_zeta_function,zero_free_region,determines,6,true
zero_free_region,de_la_vallee_poussin,enables,6,true
de_la_vallee_poussin,prime_number_theorem,proves,7,true
prime_number_theorem,erdos_selberg_elementary_pnt,reproved_by,8,true
prime_number_theorem,gauss_prime_conjecture,confirms,5,true
riemann_zeta_function,explicit_formula_primes,connects_to,6,true
explicit_formula_primes,prime_number_theorem,refines,6,true
riemann_hypothesis,explicit_formula_primes,would_sharpen,8,true
riemann_hypothesis,zero_free_region,would_optimize,8,true
riemann_hypothesis,montgomery_pair_correlation,motivates,8,true
montgomery_pair_correlation,hilbert_polya_conjecture,connects_to,8,true
riemann_hypothesis,hilbert_polya_conjecture,would_be_explained_by,9,true
riemann_hypothesis,generalized_riemann_hyp,generalizes,7,true
dirichlet_l_functions,generalized_riemann_hyp,concerns,6,true
modular_arithmetic,dirichlet_characters,generalizes_via,4,true
dirichlet_characters,dirichlet_l_functions,defines,5,true
dirichlet_l_functions,dirichlet_thm_primes_ap,proves,6,true
euclid_infinitude_primes,dirichlet_thm_primes_ap,generalizes,5,true
prime_numbers,goldbach_conjecture,motivates,4,true
goldbach_conjecture,weak_goldbach,implies,6,true
weak_goldbach,vinogradov_theorem,approached_by,6,true
vinogradov_theorem,helfgott_proof,completed_by,8,true
prime_numbers,twin_prime_conjecture,motivates,4,true
twin_prime_conjecture,hardy_littlewood_conjectures,generalized_by,6,true
twin_prime_conjecture,zhang_bounded_gaps,partially_resolves,6,true
zhang_bounded_gaps,maynard_tao_sieve,improved_by,8,true
maynard_tao_sieve,polymath_project,refined_by,7,true
fermat_last_theorem,abc_conjecture,connects_to,7,true
elliptic_curves,abc_conjecture,connects_to,7,true
abc_conjecture,mochizuki_iut,claimed_proof,10,true
algebraic_integers,algebraic_number_theory,founds,5,true
algebraic_number_theory,dedekind_domains,characterized_by,6,true
ideals,dedekind_domains,specializes,6,true
dedekind_domains,unique_factorization_ideals,proves,6,true
fundamental_thm_arithmetic,unique_factorization_ideals,generalized_by,5,true
dedekind_domains,ideal_class_group,defines,6,true
ideal_class_group,class_number_problem,motivates,7,true
algebraic_number_theory,class_field_theory,proves,6,true
dirichlet_l_functions,class_field_theory,connects_to,6,true
class_field_theory,kronecker_jugendtraum,motivates,7,true
class_field_theory,iwasawa_theory,generalizes,8,true
modular_arithmetic,padic_numbers,completed_to,5,true
padic_numbers,padic_analysis,founds,6,true
padic_numbers,local_global_principle,motivates,6,true
local_global_principle,hasse_minkowski,proves,6,true
hasse_minkowski,algebraic_number_theory,uses,5,true
class_field_theory,langlands_program,generalizes,8,true
taniyama_shimura,langlands_program,special_case_of,8,true
galois_theory,langlands_program,connects_to,8,true
langlands_program,automorphic_forms,concerns,8,true
modular_forms,automorphic_forms,generalized_by,7,true
automorphic_forms,galois_representations,conjecturally_correspond_to,8,true
gauss_prime_conjecture,riemann_hypothesis,sharpened_by,7,true
continued_fractions,transcendental_numbers,used_in,4,true
liouville_numbers,transcendental_numbers,witnesses,5,true
liouville_numbers,hermite_e_transcendental,precedes,5,true
hermite_e_transcendental,lindemann_pi_transcendental,generalized_by,6,true
lindemann_pi_transcendental,squaring_the_circle,resolves,5,true
euclid_axioms_geometry,squaring_the_circle,poses,3,true
hilbert_7th_problem,gelfond_schneider,resolves,7,true
lindemann_pi_transcendental,hilbert_7th_problem,motivates,6,true
continued_fractions,continued_fraction_diophantine_approx,founds,5,true
continued_fraction_diophantine_approx,roth_theorem,culminates_in,8,true
liouville_numbers,roth_theorem,sharpened_by,7,true
naturals,partition_function,counts,2,true
partition_function,hardy_ramanujan_asymptotic,asymptotically_solved_by,7,true
partition_function,ramanujan_congruences,satisfies,7,true
modular_forms,ramanujan_congruences,explains,7,true
continued_fractions,continuant_farey,connects_to,3,true
additive_number_theory,goldbach_conjecture,founds,4,true
additive_number_theory,partition_function,founds,3,true
additive_number_theory,waring_problem,founds,4,true
binary_operation,semigroups_monoids,axiomatizes,2,true
semigroups_monoids,group_axioms,extends,3,true
group_axioms,abelian_groups,specializes,2,true
abelian_groups,fund_thm_finite_abelian,classified_by,5,true
group_axioms,subgroup,defines,2,true
subgroup,lagrange_group_theorem,proves,3,true
group_axioms,cyclic_groups,specializes,2,true
group_axioms,dihedral_groups,specializes,2,true
group_axioms,homomorphism,defines,3,true
homomorphism,normal_subgroup_quotient,motivates,3,true
normal_subgroup_quotient,isomorphism_theorems,proves,4,true
noether_foundational_work,isomorphism_theorems,systematized_by,5,true
noether_foundational_work,commutative_algebra,founds,6,true
homomorphism,cayley_theorem,proves,3,true
group_axioms,symmetric_group,specializes,2,true
symmetric_group,cayley_theorem,target_of,4,true
symmetric_group,alternating_group,contains,3,true
group_axioms,group_action,generalizes,3,true
group_action,orbit_stabilizer,proves,4,true
orbit_stabilizer,burnside_lemma,used_in,4,true
group_action,sylow_theorems,proves,5,true
group_axioms,direct_semidirect_products,constructs,3,true
group_axioms,free_groups,generalized_from,4,true
free_groups,word_problem_groups,poses,8,true
recursion_theory,word_problem_groups,undecidable_via,8,true
sylow_theorems,simple_groups,analyzes,4,true
alternating_group,simple_groups,examples_of,4,true
simple_groups,feit_thompson,constrained_by,8,true
feit_thompson,classification_finite_simple,enables,9,true
simple_groups,classification_finite_simple,classifies,9,true
classification_finite_simple,sporadic_groups,identifies,8,true
sporadic_groups,monster_group,largest_of,9,true
group_axioms,galois_theory,applies_to,6,true
field_extensions,galois_theory,founds,6,true
galois_theory,galois_correspondence,proves,7,true
galois_correspondence,solvable_groups,characterizes,5,true
solvable_groups,abel_ruffini,proves,6,true
galois_theory,radical_extensions,characterizes,6,true
radical_extensions,abel_ruffini,proves,6,true
galois_correspondence,inverse_galois_problem,motivates,8,true
rings_axioms,polynomial_rings,specializes,2,true
rings_axioms,ideals,defines,2,true
ideals,quotient_rings,defines,3,true
ideals,pid_ufd,specializes,3,true
euclidean_domains,pid_ufd,implies,3,true
euclidean_algorithm,euclidean_domains,generalizes,4,true
fundamental_thm_arithmetic,pid_ufd,generalized_by,4,true
polynomial_rings,pid_ufd,examples_include,3,true
ideals,noetherian_rings,characterized_by,5,true
noetherian_rings,hilbert_basis_theorem,proves,5,true
polynomial_rings,hilbert_basis_theorem,concerns,5,true
rings_axioms,fields_axioms,specializes,2,true
fields_axioms,field_extensions,defines,3,true
field_extensions,algebraic_closure,completes,4,true
polynomial_rings,fund_thm_algebra,concerns,5,true
complex_numbers,fund_thm_algebra,algebraically_closes,4,true
algebraic_closure,fund_thm_algebra,exemplified_by,5,true
fields_axioms,finite_fields,specializes,3,true
finite_fields,linear_codes,used_in,4,true
field_extensions,splitting_fields,defines,4,true
splitting_fields,galois_theory,founds,6,true
field_extensions,separable_extensions,specializes,5,true
fields_axioms,vector_spaces,founds,2,true
vector_spaces,basis_dimension,defines,2,true
vector_spaces,linear_maps,defines,2,true
linear_maps,matrix_algebra,represents,2,true
matrix_algebra,determinants,defines,2,true
determinants,cayley_hamilton,used_in,4,true
matrix_algebra,eigen_theory,motivates,3,true
cayley_hamilton,eigen_theory,connects_to,4,true
eigen_theory,jordan_normal_form,generalizes,5,true
eigen_theory,spectral_theorem,generalizes,5,true
bilinear_quadratic_forms,spectral_theorem,connects_to,5,true
vector_spaces,tensor_products,generalizes,5,true
tensor_products,multilinear_algebra,founds,5,true
vector_spaces,modules_theory,generalized_by,4,true
rings_axioms,modules_theory,founds,4,true
pid_ufd,structure_thm_pid_modules,enables,6,true
modules_theory,structure_thm_pid_modules,classified_by,6,true
fund_thm_finite_abelian,structure_thm_pid_modules,special_case_of,6,true
group_action,representation_theory,founds,6,true
vector_spaces,representation_theory,founds,6,true
representation_theory,characters_of_groups,studied_via,6,true
characters_of_groups,maschke_theorem,relies_on,6,true
representation_theory,monster_group,connects_to,8,true
characters_of_groups,monster_group,used_in,8,true
group_axioms,lie_groups,generalizes,6,true
lie_groups,lie_algebras,linearizes,6,true
lie_algebras,classification_simple_lie_algebras,classified_by,9,true
classification_simple_lie_algebras,root_systems,uses,8,true
root_systems,exceptional_lie_groups,identifies,9,true
universal_algebra,group_axioms,generalizes,5,true
universal_algebra,rings_axioms,generalizes,5,true
universal_algebra,lattice_theory,connects_to,5,true
lattice_theory,boolean_lattices,specializes,5,true
logic_boolean_algebra,boolean_lattices,connects_to,5,true
boolean_lattices,topos_theory,generalized_by,7,true
group_axioms,category_theory,generalized_by,6,true
category_theory,functors_natural_transf,defines,4,true
functors_natural_transf,yoneda_lemma,proves,6,true
functors_natural_transf,adjoint_functors,defines,6,true
adjoint_functors,limits_colimits_cat,connects_to,6,true
category_theory,limits_colimits_cat,defines,6,true
category_theory,abelian_categories,specializes,6,true
modules_theory,abelian_categories,generalized_by,6,true
chain_complexes,homological_algebra,founds,6,true
abelian_categories,homological_algebra,founds,7,true
derived_functors,homological_algebra,specializes,7,true
chain_complexes,derived_functors,computed_via,7,true
derived_functors,spectral_sequences,computed_via,8,true
category_theory,topos_theory,generalizes,8,true
abelian_categories,derived_categories,generalizes,8,true
derived_categories,spectral_sequences,organizes,8,true
commutative_algebra,noetherian_rings,founds,5,true
polynomial_rings,nullstellensatz,concerns,6,true
algebraic_closure,nullstellensatz,requires,6,true
nullstellensatz,algebraic_geometry_varieties,founds,6,true
group_axioms,invariant_theory,acts_in,5,true
invariant_theory,hilbert_14th_problem,poses,6,true
hilbert_basis_theorem,hilbert_14th_problem,connects_to,6,true
finite_fields,linear_codes,founds,4,true
vector_spaces,linear_codes,founds,3,true
linear_codes,hamming_distance,measured_by,3,true
hamming_distance,hamming_code,used_in,4,true
linear_codes,hamming_code,specializes,3,true
hamming_distance,hamming_bound,bounds,4,true
linear_codes,hamming_bound,bounded_by,4,true
linear_codes,singleton_bound,bounded_by,4,true
linear_codes,gilbert_varshamov_bound,bounded_below_by,5,true
singleton_bound,reed_solomon,achieved_by,5,true
finite_fields,reed_solomon,used_in,5,true
polynomial_rings,reed_solomon,used_in,5,true
hamming_code,bch_codes,generalizes,4,true
cyclic_codes,bch_codes,specializes,4,true
ideals,cyclic_codes,correspond_to,5,true
bch_codes,reed_solomon,connects_to,4,true
golay_code,hamming_bound,achieves_equality_in,5,true
golay_code,golay_sporadic_link,reveals,8,true
sporadic_groups,golay_sporadic_link,constructed_from,8,true
shannon_entropy,shannon_channel_coding,founds,6,true
shannon_channel_coding,linear_codes,motivates,6,true
shannon_channel_coding,gilbert_varshamov_bound,motivates,6,true
bch_codes,ldpc_codes,precedes,5,true
shannon_channel_coding,ldpc_codes,motivates,6,true
ldpc_codes,turbo_codes,rivaled_by,6,true
shannon_channel_coding,polar_codes,achieved_by,7,true
algebraic_geometry_varieties,algebraic_geometry_codes,used_in,8,true
reed_solomon,algebraic_geometry_codes,generalized_by,7,true
modular_arithmetic,cryptography_basics,used_in,3,true
euler_theorem_totient,rsa_cryptosystem,underlies,6,true
primality_testing,rsa_cryptosystem,used_in,6,true
cryptography_basics,rsa_cryptosystem,specializes,5,true
discrete_log_problem,elliptic_curve_cryptography,underlies,6,true
elliptic_curves,elliptic_curve_cryptography,used_in,6,true
cryptography_basics,discrete_log_problem,relies_on_hardness_of,5,true
finite_fields,discrete_log_problem,defined_over,5,true
counting_principles,pigeonhole_principle,uses,2,true
counting_principles,permutations_combinations,founds,1,true
permutations_combinations,binomial_theorem,uses,2,true
binomial_theorem,pascals_triangle,visualized_by,1,true
permutations_combinations,generating_functions,encoded_by,4,true
counting_principles,inclusion_exclusion,extends,3,true
euler_totient_fn,inclusion_exclusion,computed_via,3,true
catalan_numbers,generating_functions,computed_via,4,true
permutations_combinations,catalan_numbers,counts,3,true
burnside_lemma,polya_enumeration,generalized_by,6,true
permutations_combinations,design_theory,generalizes,5,true
design_theory,latin_squares,specializes,3,true
design_theory,block_designs,specializes,5,true
finite_fields,block_designs,used_in,5,true
pigeonhole_principle,ramsey_theory,generalizes,5,true
ramsey_theory,ramsey_numbers,defines,7,true
graph_definitions,euler_konigsberg,motivates,2,true
euler_konigsberg,eulerian_hamiltonian,generalizes,3,true
graph_definitions,trees_graph_theory,specializes,3,true
trees_graph_theory,cayley_tree_formula,counted_by,4,true
permutations_combinations,cayley_tree_formula,used_in,4,true
graph_definitions,graph_coloring,defines,2,true
graph_coloring,chromatic_polynomial,generalized_by,4,true
graph_coloring,four_color_theorem,proves,6,true
ramsey_numbers,extremal_graph_theory,connects_to,5,true
extremal_graph_theory,turan_theorem,founds,5,true
graph_definitions,planar_graphs,specializes,3,true
eulers_formula_planar,planar_graphs,characterizes,4,true
planar_graphs,four_color_theorem,applies_to,6,true
planar_graphs,graph_minors_rs,generalizes,6,true
counting_principles,probabilistic_method,extends,5,true
probabilistic_method,ramsey_theory,used_in,5,true
probabilistic_method,random_graphs,founds,6,true
random_graphs,szemeredi_regularity,analyzed_via,8,true
extremal_graph_theory,szemeredi_regularity,generalizes,8,true
szemeredi_regularity,szemeredi_theorem,used_in,8,true
van_der_waerden,szemeredi_theorem,generalized_by,7,true
szemeredi_theorem,green_tao_theorem,generalized_by,9,true
dirichlet_thm_primes_ap,green_tao_theorem,inspires,8,true
prime_numbers,green_tao_theorem,concerns,9,true
graph_definitions,matroid_theory,generalized_by,6,true
vector_spaces,matroid_theory,generalizes_to,6,true
graph_definitions,network_flows,specializes,4,true
zeno_paradoxes,limits_epsilon_delta,motivates_resolution,3,true
limits_epsilon_delta,continuity,defines,2,true
continuity,uniform_continuity,strengthened_to,3,true
newton_leibniz_calculus,derivative_def,founds,3,true
continuity,derivative_def,founds,2,true
derivative_def,rolles_theorem,proves,2,true
rolles_theorem,mean_value_theorem,generalized_by,3,true
limits_epsilon_delta,riemann_integral,founds,3,true
mean_value_theorem,fundamental_thm_calculus,proves,3,true
riemann_integral,fundamental_thm_calculus,connects_to,3,true
cauchy_sequences,reals_construction,used_in,4,true
sequences_series,cauchy_sequences,specializes,3,true
sequences_series,uniform_convergence,refines,3,true
weierstrass_rigor,uniform_convergence,formalizes,4,true
weierstrass_rigor,limits_epsilon_delta,rigorizes,4,true
uniform_convergence,weierstrass_function,enables_pathology,5,true
continuity,weierstrass_function,challenged_by,5,true
sequences_series,power_series,specializes,3,true
power_series,taylor_series,generalizes,3,true
derivative_def,taylor_series,used_in,3,true
power_series,complex_analysis_holomorphy,motivates,4,true
continuity,complex_analysis_holomorphy,extends,4,true
complex_numbers,complex_analysis_holomorphy,founds,3,true
complex_analysis_holomorphy,cauchy_integral_theorem,proves,5,true
cauchy_integral_theorem,laurent_series,enables,5,true
laurent_series,residue_theorem,founds,5,true
cauchy_integral_theorem,residue_theorem,generalizes,5,true
complex_analysis_holomorphy,conformal_mapping,characterized_by,5,true
conformal_mapping,riemann_mapping_theorem,culminates_in,7,true
complex_analysis_holomorphy,analytic_continuation,enables,5,true
power_series,analytic_continuation,uses,4,true
analytic_continuation,riemann_surfaces,motivates,7,true
riemann_mapping_theorem,riemann_surfaces,generalized_by,7,true
analytic_continuation,riemann_zeta_function,extends,6,true
elliptic_functions,elliptic_curves,parametrizes,6,true
elliptic_functions,modular_functions_j_invariant,generalized_by,7,true
modular_functions_j_invariant,modular_forms,generalizes_to,7,true
riemann_surfaces,modular_functions_j_invariant,used_in,7,true
riemann_integral,measure_theory,generalized_by,4,true
cardinality,measure_theory,motivates,4,true
measure_theory,sigma_algebras,formalized_by,4,true
sigma_algebras,lebesgue_integral,founds,4,true
measure_theory,lebesgue_integral,founds,4,true
lebesgue_integral,convergence_theorems_measure,proves,5,true
lebesgue_integral,lp_spaces,founds,5,true
vector_spaces,functional_analysis_basics,generalizes,4,true
lp_spaces,functional_analysis_basics,examples_of,5,true
functional_analysis_basics,hahn_banach,proves,6,true
functional_analysis_basics,open_mapping_closed_graph,proves,6,true
functional_analysis_basics,hilbert_spaces,specializes,4,true
bilinear_quadratic_forms,hilbert_spaces,generalizes_to,5,true
hilbert_spaces,orthonormal_bases,structured_by,5,true
fourier_analysis,orthonormal_bases,example_of,4,true
linear_maps,bounded_linear_operators,generalized_by,5,true
hilbert_spaces,bounded_linear_operators,acted_on_by,5,true
hilbert_spaces,spectral_theory_operators,founds,7,true
eigen_theory,spectral_theory_operators,generalized_by,6,true
bounded_linear_operators,self_adjoint_operators,specializes,6,true
spectral_theory_operators,self_adjoint_operators,applies_to,7,true
bounded_linear_operators,c_star_algebras,generalized_by,8,true
self_adjoint_operators,c_star_algebras,axiomatized_by,8,true
power_series,fourier_analysis,generalizes,3,true
fourier_analysis,fourier_convergence_problem,poses,6,true
fourier_convergence_problem,carleson_theorem,resolved_by,8,true
lebesgue_integral,carleson_theorem,used_in,7,true
fourier_analysis,distributions_generalized_fns,motivates,6,true
distributions_generalized_fns,sobolev_spaces,used_in,6,true
lp_spaces,sobolev_spaces,founds,6,true
fourier_analysis,harmonic_analysis_abstract,generalized_by,7,true
group_axioms,harmonic_analysis_abstract,generalized_to,7,true
harmonic_analysis_abstract,pontryagin_duality,proves,8,true
real_analysis_metric_spaces,cauchy_sequences,generalizes,3,true
real_analysis_metric_spaces,functional_analysis_basics,founds,4,true
real_analysis_metric_spaces,banach_fixed_point,proves,4,true
banach_fixed_point,diophantine_equations,used_in,4,true
derivative_def,calculus_of_variations,generalized_by,5,true
calculus_of_variations,euler_lagrange_eq,proves,5,true
euler_lagrange_eq,differential_manifolds,used_in,6,true
euclid_axioms_geometry,euclid_elements,compiled_in,3,true
euclid_elements,parallel_postulate,includes,2,true
parallel_postulate,saccheri_attempts,motivates,3,true
saccheri_attempts,non_euclidean_geometry,precedes,4,true
parallel_postulate,non_euclidean_geometry,independence_motivates,5,true
non_euclidean_geometry,hyperbolic_geometry,includes,5,true
non_euclidean_geometry,elliptic_geometry,includes,5,true
group_axioms,klein_erlangen_program,used_in,6,true
klein_erlangen_program,projective_geometry,unifies,5,true
klein_erlangen_program,hyperbolic_geometry,unifies,5,true
non_euclidean_geometry,riemannian_geometry,generalizes,6,true
riemannian_geometry,riemannian_metric_tensor,defined_by,6,true
riemannian_metric_tensor,gauss_curvature,generalizes,6,true
gauss_curvature,riemannian_geometry,motivates,5,true
riemannian_metric_tensor,geodesics,defines,5,true
riemannian_metric_tensor,curvature_tensor_ricci,generalized_by,7,true
gauss_curvature,curvature_tensor_ricci,generalizes,6,true
curvature_tensor_ricci,gauss_bonnet_theorem,connects_to,7,true
euler_konigsberg,gauss_bonnet_theorem,topologically_related_to,5,true
curvature_tensor_ricci,general_relativity_geometry,used_in,8,true
general_relativity_geometry,einstein_field_equations,formalized_by,8,true
tensor_products,curvature_tensor_ricci,used_in,6,true
differential_manifolds,riemannian_geometry,founds,6,true
point_set_topology,differential_manifolds,founds,5,true
differential_manifolds,tangent_bundles,defines,6,true
tangent_bundles,differential_forms,dualizes_to,6,true
differential_forms,stokes_theorem_general,proves,6,true
fundamental_thm_calculus,stokes_theorem_general,generalizes_to,5,true
differential_forms,de_rham_cohomology,computes,7,true
de_rham_cohomology,cohomology_theory,instance_of,7,true
