id,label,category,era,status,weight,url
zorn_lemma,Zorn's Lemma,Set Theory,1935,theorem,4,https://en.wikipedia.org/wiki/Zorn%27s_lemma
well_ordering_theorem,Well-ordering theorem,Set Theory,1904 (Zermelo),theorem,4,https://en.wikipedia.org/wiki/Well-ordering_theorem
banach_tarski,Banach–Tarski paradox,Set Theory,1924,theorem,7,https://en.wikipedia.org/wiki/Banach%E2%80%93Tarski_paradox
russells_paradox,Russell's paradox,Set Theory,1901,theorem,3,https://en.wikipedia.org/wiki/Russell%27s_paradox
naive_set_theory,Naive set theory (Cantor),Set Theory,1874-1897,definition,2,https://en.wikipedia.org/wiki/Naive_set_theory
ordinal_numbers,Ordinal numbers,Set Theory,1883 (Cantor),definition,4,https://en.wikipedia.org/wiki/Ordinal_number
transfinite_induction,Transfinite induction & recursion,Set Theory,1897,theorem,5,https://en.wikipedia.org/wiki/Transfinite_induction
cardinality,Cardinality & cardinal numbers,Set Theory,1874-1878,definition,3,https://en.wikipedia.org/wiki/Cardinal_number
cantor_diagonal,Cantor's diagonal argument,Set Theory,1891,theorem,4,https://en.wikipedia.org/wiki/Cantor%27s_diagonal_argument
cantor_schroder_bernstein,Cantor–Schröder–Bernstein theorem,Set Theory,1898,theorem,4,https://en.wikipedia.org/wiki/Schr%C3%B6der%E2%80%93Bernstein_theorem
continuum_hypothesis,Continuum Hypothesis,Set Theory,1878,conjecture,8,https://en.wikipedia.org/wiki/Continuum_hypothesis
generalized_ch,Generalized Continuum Hypothesis,Set Theory,1908,conjecture,8,https://en.wikipedia.org/wiki/Continuum_hypothesis#Generalized_continuum_hypothesis
godel_incompleteness,Gödel's incompleteness theorems,Logic,1931,theorem,8,https://en.wikipedia.org/wiki/G%C3%B6del%27s_incompleteness_theorems
godel_constructible_universe,Gödel's constructible universe L,Set Theory,1938,theorem,8,https://en.wikipedia.org/wiki/Constructible_universe
godel_ch_consistency,Gödel: CH consistent with ZFC,Set Theory,1940,theorem,7,https://en.wikipedia.org/wiki/Continuum_hypothesis
cohen_forcing,Cohen: CH independent of ZFC (forcing),Set Theory,1963,theorem,9,https://en.wikipedia.org/wiki/Forcing_(mathematics)
forcing_method,Forcing as a general method,Set Theory,1963-present,theorem,9,https://en.wikipedia.org/wiki/Forcing_(mathematics)
large_cardinals,Large cardinal axioms,Set Theory,1930-present,conjecture,9,https://en.wikipedia.org/wiki/Large_cardinal
inaccessible_cardinals,Inaccessible cardinals,Set Theory,1930,definition,8,https://en.wikipedia.org/wiki/Inaccessible_cardinal
measurable_cardinals,Measurable cardinals,Set Theory,1930-1960,definition,9,https://en.wikipedia.org/wiki/Measurable_cardinal
woodin_cardinals,Woodin cardinals,Set Theory,1984,definition,9,https://en.wikipedia.org/wiki/Woodin_cardinal
inner_model_theory,Inner model theory,Set Theory,1960s-present,theorem,9,https://en.wikipedia.org/wiki/Inner_model_theory
peano_axioms,Peano axioms,Number Theory,1889,axiom,1,https://en.wikipedia.org/wiki/Peano_axioms
naturals,Natural numbers N,Number Theory,Ancient,object,1,
integers,Integers Z,Number Theory,Ancient,object,1,
rationals,Rational numbers Q,Number Theory,Ancient,object,1,
reals_construction,Construction of R (Dedekind cuts / Cauchy),Analysis,1858-1872,definition,3,https://en.wikipedia.org/wiki/Construction_of_the_real_numbers
complex_numbers,Complex numbers C,Analysis,1545-1831,object,2,https://en.wikipedia.org/wiki/Complex_number
liar_paradox,Liar paradox,Logic,Ancient,object,3,https://en.wikipedia.org/wiki/Liar_paradox
tarski_undefinability,Tarski's undefinability theorem,Logic,1936,theorem,7,https://en.wikipedia.org/wiki/Tarski%27s_undefinability_theorem
zeno_paradoxes,Zeno's paradoxes of motion,Analysis,c.450 BCE,object,2,https://en.wikipedia.org/wiki/Zeno%27s_paradoxes
burali_forti_paradox,Burali-Forti paradox,Set Theory,1897,theorem,5,https://en.wikipedia.org/wiki/Burali-Forti_paradox
divisibility,Divisibility & division algorithm,Number Theory,Ancient,definition,1,
euclidean_algorithm,Euclidean algorithm (gcd),Number Theory,c.300 BCE,theorem,1,https://en.wikipedia.org/wiki/Euclidean_algorithm
bezout_identity,Bézout's identity,Number Theory,1624/1779,theorem,2,https://en.wikipedia.org/wiki/B%C3%A9zout%27s_identity
continued_fractions,Continued fractions,Number Theory,Ancient-1613,definition,3,https://en.wikipedia.org/wiki/Continued_fraction
fundamental_thm_arithmetic,Fundamental Theorem of Arithmetic,Number Theory,c.300 BCE,theorem,2,https://en.wikipedia.org/wiki/Fundamental_theorem_of_arithmetic
prime_numbers,Prime numbers,Number Theory,Ancient,object,1,https://en.wikipedia.org/wiki/Prime_number
sieve_of_eratosthenes,Sieve of Eratosthenes,Number Theory,c.240 BCE,theorem,1,https://en.wikipedia.org/wiki/Sieve_of_Eratosthenes
euclid_infinitude_primes,Euclid: infinitude of primes,Number Theory,c.300 BCE,theorem,2,https://en.wikipedia.org/wiki/Euclid%27s_theorem
mersenne_primes,Mersenne primes,Number Theory,1536-1644,object,3,https://en.wikipedia.org/wiki/Mersenne_prime
lucas_lehmer_test,Lucas–Lehmer primality test,Number Theory,1856-1930,theorem,4,https://en.wikipedia.org/wiki/Lucas%E2%80%93Lehmer_primality_test
perfect_numbers,Perfect numbers,Number Theory,Ancient,object,2,https://en.wikipedia.org/wiki/Perfect_number
euclid_perfect_numbers,Euclid–Euler: even perfect numbers,Number Theory,c.300 BCE / 1747,theorem,4,https://en.wikipedia.org/wiki/Euclid%E2%80%93Euler_theorem
amicable_numbers,Amicable & sociable numbers,Number Theory,Ancient-1636,object,2,https://en.wikipedia.org/wiki/Amicable_numbers
modular_arithmetic,Modular arithmetic,Number Theory,"1801 (Gauss, Disquisitiones)",definition,2,https://en.wikipedia.org/wiki/Modular_arithmetic
disquisitiones_arithmeticae,Gauss's Disquisitiones Arithmeticae,Number Theory,1801,object,5,https://en.wikipedia.org/wiki/Disquisitiones_Arithmeticae
chinese_remainder_thm,Chinese Remainder Theorem,Number Theory,3rd-5th c. CE,theorem,3,https://en.wikipedia.org/wiki/Chinese_remainder_theorem
fermat_little_theorem,Fermat's Little Theorem,Number Theory,1640,theorem,3,https://en.wikipedia.org/wiki/Fermat%27s_little_theorem
euler_theorem_totient,Euler's theorem (totient generalization),Number Theory,1763,theorem,3,https://en.wikipedia.org/wiki/Euler%27s_theorem
euler_totient_fn,Euler's totient function φ(n),Number Theory,1763,definition,2,https://en.wikipedia.org/wiki/Euler%27s_totient_function
carmichael_numbers,Carmichael numbers,Number Theory,1910,object,4,https://en.wikipedia.org/wiki/Carmichael_number
wilsons_theorem,Wilson's Theorem,Number Theory,1770,theorem,3,https://en.wikipedia.org/wiki/Wilson%27s_theorem
primality_testing,Primality testing algorithms,Number Theory,20th-21st c.,definition,4,https://en.wikipedia.org/wiki/Primality_test
aks_primality,AKS primality test (P-time),Number Theory,2002,theorem,7,https://en.wikipedia.org/wiki/AKS_primality_test
quadratic_residues,Quadratic residues,Number Theory,18th c.,definition,3,https://en.wikipedia.org/wiki/Quadratic_residue
legendre_symbol,Legendre symbol,Number Theory,1798,definition,3,https://en.wikipedia.org/wiki/Legendre_symbol
jacobi_symbol,Jacobi symbol,Number Theory,1837,definition,4,https://en.wikipedia.org/wiki/Jacobi_symbol
quadratic_reciprocity,Law of Quadratic Reciprocity,Number Theory,1796 (Gauss),theorem,5,https://en.wikipedia.org/wiki/Quadratic_reciprocity
gauss_sums,Gauss sums,Number Theory,1801,definition,5,https://en.wikipedia.org/wiki/Gauss_sum
fermat_two_squares,Fermat's theorem on sums of two squares,Number Theory,1640,theorem,4,https://en.wikipedia.org/wiki/Fermat%27s_theorem_on_sums_of_two_squares
sum_of_squares_general,Sum of squares problem (general k),Number Theory,17th-18th c.,theorem,4,https://en.wikipedia.org/wiki/Sum_of_squares_function
lagrange_four_square,Lagrange's Four-Square Theorem,Number Theory,1770,theorem,4,https://en.wikipedia.org/wiki/Lagrange%27s_four-square_theorem
waring_problem,Waring's problem,Number Theory,1770/1909,conjecture,6,https://en.wikipedia.org/wiki/Waring%27s_problem
hilbert_waring,Hilbert's solution of Waring's problem,Number Theory,1909,theorem,6,https://en.wikipedia.org/wiki/Waring%27s_problem#Hilbert%E2%80%93Waring_theorem
pell_equation,Pell's equation,Number Theory,Ancient/1657,theorem,4,https://en.wikipedia.org/wiki/Pell%27s_equation
diophantine_equations,Diophantine equations,Number Theory,3rd c. CE,definition,3,https://en.wikipedia.org/wiki/Diophantine_equation
hilberts_10th_problem,Hilbert's Tenth Problem,Number Theory,1900/1970,theorem,8,https://en.wikipedia.org/wiki/Hilbert%27s_tenth_problem
matiyasevich_thm,Matiyasevich's theorem (undecidability),Number Theory,1970,theorem,8,https://en.wikipedia.org/wiki/Matiyasevich%27s_theorem
fermat_last_theorem,Fermat's Last Theorem,Number Theory,1637 / 1995,theorem,9,https://en.wikipedia.org/wiki/Fermat%27s_Last_Theorem
fermat_last_n4,FLT case n=4 (Fermat's proof),Number Theory,1670,theorem,4,https://en.wikipedia.org/wiki/Fermat%27s_Last_Theorem#n_=_4
kummer_ideal_numbers,Kummer's ideal numbers & regular primes,Number Theory,1847,theorem,7,https://en.wikipedia.org/wiki/Ernst_Kummer#Fermat's_Last_Theorem
taniyama_shimura,Modularity theorem (Taniyama–Shimura–Weil),Number Theory,1955 / 1999,theorem,9,https://en.wikipedia.org/wiki/Modularity_theorem
wiles_ribet_epsilon,Ribet's theorem (epsilon conjecture),Number Theory,1986,theorem,8,https://en.wikipedia.org/wiki/Ribet%27s_theorem
elliptic_curves,Elliptic curves,Number Theory,19th c.,object,5,https://en.wikipedia.org/wiki/Elliptic_curve
mordell_weil,Mordell–Weil theorem,Number Theory,1922,theorem,6,https://en.wikipedia.org/wiki/Mordell%E2%80%93Weil_theorem
elliptic_curve_rank,Rank of an elliptic curve,Number Theory,1920s,definition,6,https://en.wikipedia.org/wiki/Elliptic_curve#Mordell%E2%80%93Weil_theorem
bsd_conjecture,Birch and Swinnerton-Dyer Conjecture,Number Theory,1965,conjecture,10,https://en.wikipedia.org/wiki/Birch_and_Swinnerton-Dyer_conjecture
distribution_of_primes,Distribution of primes / π(x),Number Theory,18th-19th c.,definition,3,https://en.wikipedia.org/wiki/Prime-counting_function
prime_number_theorem,Prime Number Theorem,Number Theory,1896,theorem,6,https://en.wikipedia.org/wiki/Prime_number_theorem
riemann_zeta_function,Riemann zeta function ζ(s),Analysis,1859,object,6,https://en.wikipedia.org/wiki/Riemann_zeta_function
euler_product_zeta,Euler product formula for ζ(s),Number Theory,1737,theorem,5,https://en.wikipedia.org/wiki/Euler_product
euler_basel_problem,Euler's solution of the Basel problem ζ(2)=π²/6,Number Theory,1734,theorem,4,https://en.wikipedia.org/wiki/Basel_problem
zeta_special_values,ζ at even/odd integers; Apéry's theorem,Number Theory,1734/1979,theorem,6,https://en.wikipedia.org/wiki/Ap%C3%A9ry%27s_theorem
riemann_1859_paper,Riemann's 1859 memoir,Number Theory,1859,object,8,https://en.wikipedia.org/wiki/On_the_Number_of_Primes_Less_Than_a_Given_Magnitude
riemann_functional_eq,Riemann's functional equation for ζ(s),Analysis,1859,theorem,7,https://en.wikipedia.org/wiki/Riemann_zeta_function#Functional_equation
riemann_xi_function,Riemann's ξ(s) function,Analysis,1859,definition,7,https://en.wikipedia.org/wiki/Riemann_xi_function
riemann_hypothesis,Riemann Hypothesis,Number Theory,1859,conjecture,10,https://en.wikipedia.org/wiki/Riemann_hypothesis
critical_line_theorem,Hardy: infinitely many zeros on critical line,Number Theory,1914,theorem,7,https://en.wikipedia.org/wiki/Riemann_hypothesis#Hardy%E2%80%93Littlewood's_1914_theorem
zero_free_region,Zero-free region of ζ(s),Number Theory,1896-present,theorem,7,https://en.wikipedia.org/wiki/Zero-free_region
montgomery_pair_correlation,Montgomery's pair correlation conjecture,Number Theory,1973,conjecture,8,https://en.wikipedia.org/wiki/Hilbert%E2%80%93P%C3%B3lya_conjecture#Pair_correlation
hilbert_polya_conjecture,Hilbert–Pólya conjecture,Number Theory,c.1912,conjecture,9,https://en.wikipedia.org/wiki/Hilbert%E2%80%93P%C3%B3lya_conjecture
gauss_prime_conjecture,Gauss's conjecture on π(x) ~ Li(x),Number Theory,1792,conjecture,6,https://en.wikipedia.org/wiki/Prime-counting_function#Estimates
legendre_prime_conjecture,Legendre's prime counting estimate,Number Theory,1798,conjecture,4,https://en.wikipedia.org/wiki/Prime-counting_function
chebyshev_bounds,Chebyshev's bounds on π(x),Number Theory,1852,theorem,5,https://en.wikipedia.org/wiki/Chebyshev_function
bertrand_postulate,Bertrand's postulate,Number Theory,1845/1852,theorem,4,https://en.wikipedia.org/wiki/Bertrand%27s_postulate
de_la_vallee_poussin,Hadamard & de la Vallée Poussin proof of PNT,Number Theory,1896,theorem,7,https://en.wikipedia.org/wiki/Prime_number_theorem#History
erdos_selberg_elementary_pnt,Erdős–Selberg elementary proof of PNT,Number Theory,1949,theorem,8,https://en.wikipedia.org/wiki/Prime_number_theorem#Elementary_proofs
explicit_formula_primes,Explicit formula relating primes and ζ zeros,Number Theory,1859-1895,theorem,8,https://en.wikipedia.org/wiki/Explicit_formulae_for_L-functions
generalized_riemann_hyp,Generalized Riemann Hypothesis (GRH),Number Theory,20th c.,conjecture,10,https://en.wikipedia.org/wiki/Generalized_Riemann_hypothesis
dirichlet_l_functions,Dirichlet L-functions,Number Theory,1837,object,6,https://en.wikipedia.org/wiki/Dirichlet_L-function
dirichlet_thm_primes_ap,Dirichlet's theorem on primes in arithmetic progressions,Number Theory,1837,theorem,6,https://en.wikipedia.org/wiki/Dirichlet%27s_theorem_on_arithmetic_progressions
dirichlet_characters,Dirichlet characters,Number Theory,1837,definition,5,https://en.wikipedia.org/wiki/Dirichlet_character
goldbach_conjecture,Goldbach's Conjecture,Number Theory,1742,conjecture,8,https://en.wikipedia.org/wiki/Goldbach%27s_conjecture
weak_goldbach,Weak (ternary) Goldbach Conjecture,Number Theory,1742/2013,theorem,8,https://en.wikipedia.org/wiki/Goldbach%27s_weak_conjecture
vinogradov_theorem,Vinogradov's theorem,Number Theory,1937,theorem,7,https://en.wikipedia.org/wiki/Goldbach%27s_weak_conjecture#Vinogradov's_theorem
helfgott_proof,Helfgott's proof of weak Goldbach,Number Theory,2013,theorem,8,https://en.wikipedia.org/wiki/Goldbach%27s_weak_conjecture
twin_prime_conjecture,Twin Prime Conjecture,Number Theory,Ancient/1849,conjecture,8,https://en.wikipedia.org/wiki/Twin_prime
hardy_littlewood_conjectures,Hardy–Littlewood prime k-tuple conjectures,Number Theory,1923,conjecture,8,https://en.wikipedia.org/wiki/Hardy%E2%80%93Littlewood_conjecture
zhang_bounded_gaps,Zhang: bounded prime gaps,Number Theory,2013,theorem,8,https://en.wikipedia.org/wiki/Bounded_gaps_between_primes
maynard_tao_sieve,Maynard–Tao sieve improvements,Number Theory,2013-2014,theorem,8,https://en.wikipedia.org/wiki/Bounded_gaps_between_primes#Polymath_project
polymath_project,Polymath8 collaborative project,Number Theory,2013-2014,theorem,7,https://en.wikipedia.org/wiki/Polymath_Project
abc_conjecture,abc Conjecture,Number Theory,1985 (Masser–Oesterlé),conjecture,9,https://en.wikipedia.org/wiki/Abc_conjecture
mochizuki_iut,Mochizuki's Inter-universal Teichmüller theory (disputed),Number Theory,2012-present,conjecture,10,https://en.wikipedia.org/wiki/Inter-universal_Teichm%C3%BCller_theory
algebraic_number_theory,Algebraic number fields,Number Theory,19th c.,object,5,https://en.wikipedia.org/wiki/Algebraic_number_field
algebraic_integers,Algebraic integers & rings of integers,Number Theory,1871 (Dedekind),definition,5,https://en.wikipedia.org/wiki/Algebraic_integer
dedekind_domains,Dedekind domains,Number Theory,1871,definition,6,https://en.wikipedia.org/wiki/Dedekind_domain
unique_factorization_ideals,Unique factorization of ideals,Number Theory,1871,theorem,6,https://en.wikipedia.org/wiki/Dedekind_domain#Ideal_factorization
ideal_class_group,Ideal class group,Number Theory,1846 (Kummer)/1871,definition,6,https://en.wikipedia.org/wiki/Ideal_class_group
class_number_problem,Class number problem (Gauss),Number Theory,1801/1966-1985,theorem,8,https://en.wikipedia.org/wiki/Class_number_problem
class_field_theory,Class field theory,Number Theory,1897-1930,theorem,8,https://en.wikipedia.org/wiki/Class_field_theory
kronecker_jugendtraum,Kronecker's Jugendtraum,Number Theory,1880s,conjecture,8,https://en.wikipedia.org/wiki/Kronecker%27s_Jugendtraum
iwasawa_theory,Iwasawa theory,Number Theory,1959,theorem,9,https://en.wikipedia.org/wiki/Iwasawa_theory
padic_numbers,p-adic numbers,Number Theory,1897 (Hensel),object,6,https://en.wikipedia.org/wiki/P-adic_number
padic_analysis,p-adic analysis,Number Theory,20th c.,definition,7,https://en.wikipedia.org/wiki/P-adic_analysis
local_global_principle,Local-global (Hasse) principle,Number Theory,1920s,theorem,7,https://en.wikipedia.org/wiki/Hasse_principle
hasse_minkowski,Hasse–Minkowski theorem,Number Theory,1920s,theorem,7,https://en.wikipedia.org/wiki/Hasse%E2%80%93Minkowski_theorem
langlands_program,Langlands Program,Number Theory,1967-present,conjecture,10,https://en.wikipedia.org/wiki/Langlands_program
automorphic_forms,Automorphic forms,Number Theory,20th c.,object,8,https://en.wikipedia.org/wiki/Automorphic_form
modular_forms,Modular forms,Number Theory,19th-20th c.,object,7,https://en.wikipedia.org/wiki/Modular_form
galois_representations,Galois representations,Number Theory,20th c.,definition,8,https://en.wikipedia.org/wiki/Galois_module
transcendental_numbers,Transcendental numbers,Number Theory,1844 (Liouville),definition,4,https://en.wikipedia.org/wiki/Transcendental_number
liouville_numbers,Liouville numbers & first transcendence proof,Number Theory,1844,theorem,5,https://en.wikipedia.org/wiki/Liouville_number
hermite_e_transcendental,Hermite: e is transcendental,Number Theory,1873,theorem,5,https://en.wikipedia.org/wiki/Charles_Hermite#Transcendence_of_e
lindemann_pi_transcendental,Lindemann: π is transcendental,Number Theory,1882,theorem,6,https://en.wikipedia.org/wiki/Lindemann%E2%80%93Weierstrass_theorem
squaring_the_circle,Impossibility of squaring the circle,Geometry,1882,theorem,5,https://en.wikipedia.org/wiki/Squaring_the_circle
hilbert_7th_problem,Hilbert's Seventh Problem,Number Theory,1900,conjecture,6,https://en.wikipedia.org/wiki/Hilbert%27s_seventh_problem
gelfond_schneider,Gelfond–Schneider theorem,Number Theory,1934,theorem,7,https://en.wikipedia.org/wiki/Gelfond%E2%80%93Schneider_theorem
continued_fraction_diophantine_approx,Diophantine approximation,Number Theory,19th-20th c.,definition,5,https://en.wikipedia.org/wiki/Diophantine_approximation
roth_theorem,Roth's theorem,Number Theory,1955,theorem,8,https://en.wikipedia.org/wiki/Roth%27s_theorem
additive_number_theory,Additive number theory,Number Theory,18th c.-present,definition,4,https://en.wikipedia.org/wiki/Additive_number_theory
partition_function,Integer partitions p(n),Number Theory,18th c. (Euler),definition,3,https://en.wikipedia.org/wiki/Partition_(number_theory)
hardy_ramanujan_asymptotic,Hardy–Ramanujan partition asymptotic,Number Theory,1918,theorem,7,https://en.wikipedia.org/wiki/Hardy%E2%80%93Ramanujan_asymptotic_formula
ramanujan_congruences,Ramanujan's congruences for p(n),Number Theory,1919,theorem,7,https://en.wikipedia.org/wiki/Ramanujan%27s_congruences
continuant_farey,Farey sequences,Number Theory,1816,definition,3,https://en.wikipedia.org/wiki/Farey_sequence
binary_operation,Binary operations & closure,Algebra,Ancient,definition,1,
semigroups_monoids,Semigroups & monoids,Algebra,19th-20th c.,definition,2,https://en.wikipedia.org/wiki/Monoid
group_axioms,Group axioms,Algebra,1832-1870 (Galois/Cayley),axiom,2,https://en.wikipedia.org/wiki/Group_(mathematics)
abelian_groups,Abelian groups,Algebra,19th c.,definition,2,https://en.wikipedia.org/wiki/Abelian_group
fund_thm_finite_abelian,Fundamental theorem of finite abelian groups,Algebra,1879,theorem,5,https://en.wikipedia.org/wiki/Abelian_group#Classification
subgroup,Subgroups,Algebra,19th c.,definition,2,https://en.wikipedia.org/wiki/Subgroup
lagrange_group_theorem,Lagrange's theorem (group order),Algebra,1770,theorem,3,https://en.wikipedia.org/wiki/Lagrange%27s_theorem_(group_theory)
cyclic_groups,Cyclic groups,Algebra,19th c.,object,2,https://en.wikipedia.org/wiki/Cyclic_group
dihedral_groups,Dihedral groups,Algebra,19th c.,object,2,https://en.wikipedia.org/wiki/Dihedral_group
homomorphism,Group homomorphisms,Algebra,19th c.,definition,3,https://en.wikipedia.org/wiki/Group_homomorphism
normal_subgroup_quotient,Normal subgroups & quotient groups,Algebra,1870s,definition,3,https://en.wikipedia.org/wiki/Normal_subgroup
isomorphism_theorems,Isomorphism theorems,Algebra,1927 (Noether),theorem,4,https://en.wikipedia.org/wiki/Isomorphism_theorems
noether_foundational_work,Noether's foundational abstract algebra (1921-1927),Algebra,1921-1927,object,7,https://en.wikipedia.org/wiki/Emmy_Noether
cayley_theorem,Cayley's Theorem,Algebra,1854,theorem,3,https://en.wikipedia.org/wiki/Cayley%27s_theorem
symmetric_group,Symmetric group S_n,Algebra,19th c.,object,3,https://en.wikipedia.org/wiki/Symmetric_group
alternating_group,Alternating group A_n,Algebra,19th c.,object,4,https://en.wikipedia.org/wiki/Alternating_group
group_action,Group actions,Algebra,19th-20th c.,definition,3,https://en.wikipedia.org/wiki/Group_action
orbit_stabilizer,Orbit–stabilizer theorem,Algebra,19th-20th c.,theorem,4,https://en.wikipedia.org/wiki/Group_action#Orbits_and_stabilizers
burnside_lemma,Burnside's lemma,Algebra,1887 (Frobenius),theorem,4,https://en.wikipedia.org/wiki/Burnside%27s_lemma
sylow_theorems,Sylow theorems,Algebra,1872,theorem,5,https://en.wikipedia.org/wiki/Sylow_theorems
direct_semidirect_products,Direct & semidirect products,Algebra,19th-20th c.,definition,3,https://en.wikipedia.org/wiki/Semidirect_product
free_groups,Free groups & presentations,Algebra,1882 (Dyck),definition,4,https://en.wikipedia.org/wiki/Free_group
word_problem_groups,Word problem for groups,Algebra,1911/1955,theorem,8,https://en.wikipedia.org/wiki/Word_problem_for_groups
simple_groups,Simple groups,Algebra,19th c.,definition,5,https://en.wikipedia.org/wiki/Simple_group
feit_thompson,Feit–Thompson theorem (odd order),Algebra,1963,theorem,8,https://en.wikipedia.org/wiki/Feit%E2%80%93Thompson_theorem
classification_finite_simple,Classification of Finite Simple Groups,Algebra,1955-2004,theorem,10,https://en.wikipedia.org/wiki/Classification_of_finite_simple_groups
